LOGS: 10th August  2025 
Size: 1366x768 

Mouse Position: X: 609   Y:462  At 12:25:32 AM
Mouse Position: X: 617   Y:453  At 12:25:47 AM
Mouse Position: X: 800   Y:267  At 12:25:48 AM
Click 'Button.left': 797   Y:266  At 12:25:48 AM 
Mouse Position: X: 797   Y:266  At 12:25:48 AM
Mouse Position: X: 803   Y:271  At 12:25:49 AM
Mouse Position: X: 805   Y:376  At 12:25:49 AM
Mouse Position: X: 674   Y:341  At 12:25:49 AM
Mouse Position: X: 667   Y:342  At 12:25:49 AM
Mouse Position: X: 571   Y:335  At 12:25:50 AM
Mouse Position: X: 602   Y:291  At 12:25:50 AM
Mouse Position: X: 596   Y:294  At 12:25:50 AM
Click 'Button.left': 556   Y:302  At 12:25:50 AM 
Mouse Position: X: 556   Y:302  At 12:25:50 AM
Mouse Position: X: 568   Y:301  At 12:25:51 AM
Mouse Position: X: 793   Y:309  At 12:25:51 AM
Click 'Button.left': 791   Y:310  At 12:25:51 AM 
Mouse Position: X: 791   Y:310  At 12:25:51 AM
Mouse Position: X: 779   Y:315  At 12:25:52 AM
Click 'Button.left': 634   Y:346  At 12:25:52 AM 
Mouse Position: X: 634   Y:346  At 12:25:52 AM
Mouse Position: X: 636   Y:353  At 12:25:53 AM
Click 'Button.left': 647   Y:381  At 12:25:53 AM 
Mouse Position: X: 647   Y:381  At 12:25:53 AM
Mouse Position: X: 647   Y:389  At 12:25:53 AM
Mouse Position: X: 647   Y:471  At 12:25:53 AM
Mouse Position: X: 646   Y:483  At 12:25:54 AM
